0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,13,27,29,30,32,34,36,39,41,43,44,45,51,53,55,60,65,66,77
4,5,8,9,15,21,22,31,35,36,37,41,48,50,54,55,58,65,67,71
6,13,18,22,27,28,31,33,34,36,47,49,54,55,56,60,65,68,71,76
1,3,10,15,18,20,21,26,30,32,39,46,55,56,57,59,65,73,77,80
3,5,6,10,11,12,23,30,31,45,46,48,59,60,64,66,70,75,77,78
5,7,10,11,12,14,15,23,25,36,39,43,44,45,46,55,65,66,69,72
3,5,7,11,15,20,22,24,37,44,45,46,49,55,62,71,72,73,74,77
1,3,4,7,8,13,14,16,17,20,32,38,39,48,52,57,67,68,74,78
5,10,17,18,20,23,28,31,36,39,42,48,50,53,62,63,73,74,78,80
2,3,6,8,9,14,16,18,22,25,26,27,34,44,45,48,52,61,67,76
7,10,19,25,28,30,39,40,42,44,49,50,52,53,57,59,63,75,78,80
4,10,13,15,16,25,26,30,41,45,52,56,57,58,62,64,66,71,74,75
14,17,21,24,28,32,38,39,50,57,59,60,68,69,70,72,73,74,76,77
1,8,11,12,17,22,25,34,39,42,49,51,53,60,61,62,64,67,70,73
16,19,20,21,23,28,35,37,43,47,48,51,52,56,63,65,69,75,77,79
2,13,19,20,23,24,35,36,37,40,50,51,52,56,57,58,60,64,67,74
7,8,12,16,17,27,42,43,47,49,52,55,62,63,64,65,67,69,72,73
1,2,12,15,16,20,21,24,30,37,48,49,57,59,62,66,69,70,72,77
1,4,5,9,11,16,21,29,37,41,46,49,51,63,65,70,74,77,79,80
2,7,11,15,16,18,19,26,34,36,37,41,51,53,56,65,66,68,70,80
5,7,12,15,19,21,23,35,37,49,52,54,55,62,63,67,71,78,79,80
2,7,12,13,21,27,32,34,35,49,53,54,55,56,57,60,64,69,71,79
1,9,15,20,24,26,30,36,40,41,43,46,62,63,64,67,69,72,78,80
3,7,9,13,15,22,27,28,31,33,39,40,45,46,50,52,58,62,64,72
10,14,15,20,25,36,38,44,45,48,50,55,57,58,59,61,67,76,78,79
4,6,7,16,27,28,31,35,38,42,43,51,53,54,59,64,67,68,71,78
3,5,6,7,11,17,21,24,29,46,48,49,52,55,57,66,68,70,73,77
1,2,3,24,34,37,44,45,55,58,59,64,66,67,69,70,73,74,75,78
1,2,5,6,10,21,22,24,30,34,35,38,43,46,48,52,61,70,76,80
1,5,6,15,21,25,30,34,37,40,41,42,44,46,58,60,62,63,68,73
7,8,11,21,24,40,43,46,47,49,50,53,54,60,62,65,68,71,75,80
4,8,11,12,13,16,21,23,26,27,33,34,35,39,41,53,54,55,76,78
2,3,15,20,31,32,38,39,43,49,55,57,60,62,65,66,69,74,77,80
1,7,8,13,14,18,31,38,43,48,51,52,54,61,65,68,70,76,77,78
3,6,7,16,17,18,20,35,37,39,45,55,56,57,61,63,65,71,72,75
1,8,14,18,19,23,27,30,33,36,41,46,48,53,57,61,63,68,73,80
1,4,5,6,7,14,15,23,26,32,37,39,43,58,62,64,66,67,78,80
3,4,6,8,11,13,15,19,27,35,44,50,54,60,61,62,65,73,74,75
3,8,9,14,16,17,22,26,30,36,37,38,44,50,53,57,61,62,68,80
2,12,14,15,17,19,25,32,33,35,36,37,39,41,43,55,59,61,62,72
8,16,17,18,23,30,34,35,41,42,43,50,55,59,63,64,71,75,77,79
1,3,7,21,25,27,30,31,34,36,37,41,43,45,52,56,59,60,64,67
1,3,6,11,14,17,18,23,24,27,34,35,43,55,59,61,66,69,75,77
7,8,9,13,14,19,20,33,35,43,45,47,49,55,60,65,73,78,79,80
4,6,8,11,12,18,20,25,32,35,40,41,44,46,56,63,64,75,78,80
2,8,12,15,19,26,29,31,32,35,43,46,53,58,61,63,68,69,70,75
7,8,21,28,30,32,36,37,40,44,45,49,51,52,53,54,58,72,78,80
9,12,20,25,26,29,30,31,34,45,51,52,53,54,66,67,71,72,73,75
